threads,load,energy,,,time,,,util
45,100,3054.74,Joules,power/energy-pkg/,20098951007,100.00,,4464
46,100,3051.91,Joules,power/energy-pkg/,20079417121,100.00,,4565
47,100,3067.20,Joules,power/energy-pkg/,20079324335,100.00,,4665
48,100,3070.77,Joules,power/energy-pkg/,20081542880,100.00,,4764
49,100,3083.31,Joules,power/energy-pkg/,20089363326,100.00,,4862
50,100,3093.38,Joules,power/energy-pkg/,20092284643,100.00,,4960
51,100,3098.35,Joules,power/energy-pkg/,20086193022,100.00,,5060
52,100,3099.67,Joules,power/energy-pkg/,20101591316,100.00,,5157
53,100,3115.66,Joules,power/energy-pkg/,20094919616,100.00,,5257
54,100,3119.62,Joules,power/energy-pkg/,20103655893,100.00,,5355
55,100,3146.46,Joules,power/energy-pkg/,20091445142,100.00,,5456
56,100,3133.44,Joules,power/energy-pkg/,20094347403,100.00,,5555
57,100,3153.54,Joules,power/energy-pkg/,20102796384,100.00,,5651
58,100,3160.67,Joules,power/energy-pkg/,20104742814,100.00,,5750
59,100,3180.08,Joules,power/energy-pkg/,20099157103,100.00,,5851
60,100,3182.97,Joules,power/energy-pkg/,20083485649,100.00,,5954
61,100,3203.42,Joules,power/energy-pkg/,20095858331,100.00,,6052
62,100,3201.99,Joules,power/energy-pkg/,20100513252,100.00,,6149
63,100,3204.77,Joules,power/energy-pkg/,20107091225,100.00,,6245
64,100,3209.14,Joules,power/energy-pkg/,20101559863,100.00,,6345
