name;hash;path;type;size
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578811);2cffc8881e849d1b8589a0a08ec14a14;/workspace/work/2c/ffc8881e849d1b8589a0a08ec14a14/SRR16578811_raw_2_fastqc.zip;f;361016
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578811);2cffc8881e849d1b8589a0a08ec14a14;/workspace/work/2c/ffc8881e849d1b8589a0a08ec14a14/versions.yml;f;120
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578810);b6c87f2121c64d0af3866b815d01fd99;/workspace/work/b6/c87f2121c64d0af3866b815d01fd99/SRR16578810_trimmed_1_val_1.fq.gz;f;1120325245
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578810);b6c87f2121c64d0af3866b815d01fd99;/workspace/work/b6/c87f2121c64d0af3866b815d01fd99/SRR16578810_trimmed_2_val_2.fq.gz;f;1201472981
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578810);b6c87f2121c64d0af3866b815d01fd99;/workspace/work/b6/c87f2121c64d0af3866b815d01fd99/SRR16578810_trimmed_1.fastq.gz_trimming_report.txt;f;5286
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578810);b6c87f2121c64d0af3866b815d01fd99;/workspace/work/b6/c87f2121c64d0af3866b815d01fd99/SRR16578810_trimmed_2.fastq.gz_trimming_report.txt;f;5495
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578810);b6c87f2121c64d0af3866b815d01fd99;/workspace/work/b6/c87f2121c64d0af3866b815d01fd99/SRR16578810_trimmed_1_val_1_fastqc.html;f;612976
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578810);b6c87f2121c64d0af3866b815d01fd99;/workspace/work/b6/c87f2121c64d0af3866b815d01fd99/SRR16578810_trimmed_2_val_2_fastqc.html;f;610520
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578810);b6c87f2121c64d0af3866b815d01fd99;/workspace/work/b6/c87f2121c64d0af3866b815d01fd99/SRR16578810_trimmed_1_val_1_fastqc.zip;f;355229
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578810);b6c87f2121c64d0af3866b815d01fd99;/workspace/work/b6/c87f2121c64d0af3866b815d01fd99/SRR16578810_trimmed_2_val_2_fastqc.zip;f;349989
